fecha_de_muestreo,estaciones,ph,temperatura_c,color_upc,turbiedad_unt,solidos_totales_mg_sst_l,solidos_suspendidos_totales,solidos_disueltos_mg_sd_l,demanda_bioquimica_de_oxigeno,demanda_quimica_de_oxigeno,oxigeno_disuelto_mg_o2_l,dureza_total_mg_caco3_l,dureza_calcica_mg_caco3_l,dureza_magnesica_mg_caco3,calcio_mg_ca_l,magnesio_mg_mg_l,alcalinidad_total_mg_caco3,bicarbonatos_mg_caco3_l,conductividad_el_ctrica_s,hierro_total_mg_fe_l,manganeso_total_mg_mn_l,sodio_total_mg_na_l,potasio_total_mg_k_l,cobre_total_mg_cu_l,zinc_total_mg_zn_l,nitrogeno_total_mg_n_l,nitrogeno_amoniacal_mg_n,nitritos_mg_n_no2_l,nitratos_mg_n_no3_l,cloruros_mg_cl_l,fosforo_total_mg_p_l,fosfatos_mg_po4_l,sulfatos_mg_so4_l,cadmio_total_mg_cd_l,cromo_total_mg_cr_l,niquel_total_mg_ni_l,plomo_total_mg_pb_l,coliformes_totales_nmp_100,coliformes_fecales_nmp_100,contaminacion_metalica
1990-01-10 00:00:00,ANTES INTERCEPTOR SUR,7.2,22.022321063394685,135.2800688559322,134.0445138226883,358.0,271.0,87.0,33.0,6.5,39.6,19.8,19.8,7.9,4.8,0.0,0.0,75.4,3.1,0.24,0.24,4.87,1.11,0.02,0.088,2.149131295399516,0.879910692853246,0.28,0.05,4.0,0.2689246568859441,0.01,18.0,0.2055905982905983,0.1650573631840796,0.0,0.0,241000.0,241000.0,bajo
1990-01-10 00:00:00,PUENTE HORMIGUERO,7.2,22.022321063394685,135.2800688559322,134.0445138226883,464.0,360.0,104.0,39.0,6.5,37.4,22.0,15.4,8.8,3.7,0.0,0.0,77.3,15.1,1.17,1.17,5.04,1.69,0.04,0.07,2.149131295399516,0.879910692853246,0.19,0.042,4.0,0.2689246568859441,0.01,21.0,0.2055905982905983,0.1650573631840796,0.0,0.0,241000.0,24100.0,bajo
1990-01-10 00:00:00,ANTES RIO OVEJAS,6.7,22.022321063394685,135.2800688559322,134.0445138226883,143.0,65.0,78.0,2.1,24.0,6.0,88.6,13.2,15.4,5.3,3.7,14.0,17.1,67.9,3.07,0.12,3.95,1.16,0.0,0.014,2.149131295399516,0.879910692853246,0.0018,0.03,6.0,0.2689246568859441,0.01,18.0,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,24100.0,24100000.0,bajo
1990-01-10 00:00:00,PASO DE LA BOLSA,7.3,22.022321063394685,135.2800688559322,134.0445138226883,359.0,171.0,88.0,33.0,7.1,30.8,19.8,11.0,7.9,2.6,0.0,0.0,62.2,0.45,0.2,0.2,4.6,0.93,0.01,0.069,2.149131295399516,0.879910692853246,0.19,0.022,4.0,0.2689246568859441,0.01,16.0,0.2055905982905983,0.1650573631840796,0.0,0.1487426624737945,24100.0,241000.0,bajo
1990-01-10 00:00:00,PASO DE LA BALSA,7.1,22.022321063394685,135.2800688559322,134.0445138226883,380.0,293.0,87.0,1.0,26.0,7.2,26.4,15.4,11.0,6.2,2.6,16.0,19.5,62.2,13.4,0.29,5.16,1.55,0.02,0.074,2.149131295399516,0.879910692853246,0.002,0.023,4.0,0.2689246568859441,0.01,22.0,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,241000.0,9550.0,medio
1990-01-10 00:00:00,ANTES RIO TIMBA,7.1,22.022321063394685,135.2800688559322,134.0445138226883,611.0,524.9,86.1,1.1,39.0,7.2,26.4,13.2,13.2,5.3,3.2,14.0,17.1,50.0,19.8,0.3,4.06,1.67,0.03,0.08,2.149131295399516,0.879910692853246,0.0018,0.06,4.0,0.2689246568859441,0.06,19.0,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,241000.0,955.0,medio
1990-01-11 00:00:00,MEDIACANOA,7.4,22.022321063394685,135.2800688559322,134.0445138226883,562.0,411.7,150.3,5.3,45.0,1.5,59.4,30.8,28.6,12.3,6.9,44.0,53.7,13.7,18.42,0.38,9.4,3.02,0.08,0.137,2.149131295399516,0.879910692853246,0.015,0.018,7.0,0.2689246568859441,0.012,19.8,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,2410000.0,24100.0,alto
1990-01-11 00:00:00,YOTOCO,7.1,22.022321063394685,135.2800688559322,134.0445138226883,464.0,345.0,119.0,0.8,51.0,1.6,57.2,33.0,24.2,13.2,5.8,46.0,56.1,139.0,15.56,0.28,9.29,2.48,0.03,0.079,2.149131295399516,0.879910692853246,0.013,0.018,8.0,0.2689246568859441,0.03,22.0,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,24100000.0,24100.0,medio
1990-01-11 00:00:00,VIJES,7.3,22.022321063394685,135.2800688559322,134.0445138226883,536.0,421.7,114.3,5.1,48.0,2.4,50.6,33.0,17.6,13.2,4.2,34.0,41.5,127.3,22.16,0.37,8.17,2.76,0.04,0.079,2.149131295399516,0.879910692853246,0.02,0.068,7.027014272559852,0.2689246568859441,0.027,20.5,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,24100000.0,24100.0,medio
1990-01-11 00:00:00,PASO DEL COMERCIO,7.1,22.022321063394685,135.2800688559322,134.0445138226883,316.0,215.0,101.0,3.0,44.0,5.9,35.2,19.8,15.4,7.9,3.7,24.0,29.3,81.4,10.28,0.23,4.73,1.48,0.01,0.061,2.149131295399516,0.879910692853246,0.006,0.04,7.027014272559852,0.2689246568859441,0.018,17.0,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,24100000.0,24100.0,bajo
1990-01-11 00:00:00,PUERTO ISAACS,7.0,22.022321063394685,135.2800688559322,134.0445138226883,346.0,245.0,101.0,3.3,30.0,5.2,44.0,22.0,22.0,8.8,5.3,24.0,29.3,89.1,14.72,0.78,5.86,1.84,0.04,0.091,2.149131295399516,0.879910692853246,0.0062,0.022,7.027014272559852,0.2689246568859441,0.022,15.5,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,24100000.0,24100.0,medio
1990-01-11 00:00:00,PASO DE LA TORRE,7.2,22.022321063394685,135.2800688559322,134.0445138226883,397.0,21.7,85.3,3.0,37.0,3.4,44.0,22.0,22.0,8.8,5.3,24.0,29.3,110.6,14.7,0.27,6.26,2.3,0.03,0.043,2.149131295399516,0.879910692853246,0.01,0.01,7.027014272559852,0.2689246568859441,0.03,19.5,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,24100000.0,241000.0,medio
1990-01-12 00:00:00,PUENTE GUAYABAL,7.3,22.022321063394685,135.2800688559322,134.0445138226883,764.0,608.4,155.6,3.72,59.0,2.6,72.6,37.4,35.2,15.0,8.4,48.0,58.6,153.6,18.1,0.3,6.97,2.52,0.05,0.052,2.149131295399516,0.879910692853246,0.027,0.018,6.0,0.2689246568859441,0.03,23.5,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,2410000.0,24100.0,medio
1990-01-12 00:00:00,RIOFRIO,7.3,22.022321063394685,135.2800688559322,134.0445138226883,563.0,460.0,103.0,3.8,55.0,2.7,61.6,33.0,28.6,13.2,6.9,40.0,48.8,130.6,15.0,0.4,7.02,2.43,0.033,0.039,2.149131295399516,0.879910692853246,0.02,0.047,5.0,0.2689246568859441,0.02,21.0,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,2410000.0,24100.0,medio
1990-01-12 00:00:00,PUENTE LA VIRGINIA,7.4,22.022321063394685,135.2800688559322,134.0445138226883,678.0,551.7,126.3,2.28,44.0,3.3,72.6,35.2,37.4,14.1,9.0,52.0,63.4,153.6,19.13,0.6,10.2,2.65,0.06,0.114,2.149131295399516,0.879910692853246,0.0238,0.042,5.0,0.2689246568859441,0.06,26.0,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,24100000.0,24100.0,alto
1990-01-12 00:00:00,ANACARO,7.8,22.022321063394685,135.2800688559322,134.0445138226883,978.0,818.4,159.6,3.24,59.0,3.0,68.2,37.4,30.8,15.0,7.4,50.0,61.0,157.9,30.6,0.72,9.87,3.51,0.08,0.114,2.149131295399516,0.879910692853246,0.028,0.058,6.0,0.2689246568859441,0.04,26.0,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,241000.0,24100.0,alto
1990-01-12 00:00:00,LA VICTORIA,7.4,22.022321063394685,135.2800688559322,134.0445138226883,774.0,636.7,137.3,3.24,59.0,2.6,66.0,37.4,28.6,15.0,6.9,50.0,61.0,156.9,20.8,0.5,8.06,3.08,0.06,0.067,2.149131295399516,0.879910692853246,0.027,0.038,6.0,0.2689246568859441,0.033,24.0,0.2055905982905983,0.1650573631840796,0.0755428713858424,0.1487426624737945,2410000.0,24100.0,alto
1990-05-02 00:00:00,PASO DE LA TORRE,6.8,22.022321063394685,135.2800688559322,134.0445138226883,275.1855697356427,576.0,117.46439981743497,3.3,52.0,3.9,44.0,24.0,20.0,11.880739270881405,6.324033225657591,29.4,42.92533364226135,121.2,26.9,0.48,10.2,2.87,0.049,0.071,2.149131295399516,0.879910692853246,0.024,0.098,6.0,0.3,0.0944747508305648,24.0,0.2055905982905983,0.097,0.0755428713858424,0.2,124000470844.39368,11802166090596.152,alto
1990-05-02 00:00:00,JUANCHITO,6.8,22.022321063394685,135.2800688559322,134.0445138226883,275.1855697356427,364.0,117.46439981743497,2.0,16.0,5.7,42.0,20.0,20.0,11.880739270881405,6.324033225657591,27.3,42.92533364226135,90.0,20.0,0.42,7.11,2.37,0.024,0.056,2.149131295399516,0.879910692853246,0.004,0.05,4.0,0.28,0.0944747508305648,15.0,0.2055905982905983,0.04,0.0755428713858424,0.1,124000470844.39368,11802166090596.152,medio
1990-05-09 00:00:00,ANTES RIO OVEJAS,6.5,22.022321063394685,135.2800688559322,134.0445138226883,135.0,22.2,112.8,0.2,5.2,5.5,30.0,12.0,18.0,4.8,4.3,12.6,15.4,73.9,1.91,0.21,4.67,1.06,0.0,0.0,2.149131295399516,0.2,0.002,0.038,5.0,0.042,0.0944747508305648,19.0,0.2055905982905983,0.1650573631840796,0.0,0.1487426624737945,23.0,23.0,bajo
1990-05-09 00:00:00,PASO DE LA BALSA,6.9,22.022321063394685,135.2800688559322,134.0445138226883,231.0,132.9,98.1,0.6,4.1,6.4,30.0,14.0,16.0,5.6,3.8,16.8,15.4,72.8,6.77,0.19,4.31,1.25,0.0,0.012,2.149131295399516,0.29,0.009,0.1,6.0,0.1,0.0944747508305648,5.0,0.2055905982905983,0.1650573631840796,0.0,0.1487426624737945,241000.0,2410.0,bajo
1990-05-09 00:00:00,ANTES INTERCEPTOR SUR,6.9,22.022321063394685,135.2800688559322,134.0445138226883,238.0,175.0,63.0,3.0,10.4,5.8,42.0,18.0,24.0,7.2,5.7,21.0,25.6,82.6,7.55,0.19,4.77,1.36,0.0,0.011,2.149131295399516,0.29,0.003,0.04,4.0,0.2,0.04,18.8,0.2055905982905983,0.1650573631840796,0.0,0.0,2311000.0,231000.0,bajo
